RecordType,BlockName,Priority,Order,CharacterName,DisplayName,ShowName,Dialogue,Expression,ExtendPrevious,WaitForClick,FadeWhenDone,IsDefault,CommandType,GroupId,ChoiceTargetBlock,FlagId,LogicalOperator,FlagType,EnumType,FlagName,Comparison,Value,EnumValue,RandomOptionId
FLAG,,,,,,,,,,,,,,,,PrologueTriggeredEvent.PrologueStart,,Bool,PrologueTriggeredEvent,PrologueStart,,,1,
DIALOGUE,NoticeBoardLeftDriver,0,1,,掲示板を見るドライバー,TRUE,新しい通行止めの知らせは……今のところなさそうか。,,FALSE,,TRUE,TRUE,RandomSay,NoticeBoardLeftDriver_Random,,,,,,,,,,NoticeBoardLeftDriver_A
DIALOGUE,NoticeBoardLeftDriver,0,2,,掲示板を見るドライバー,TRUE,それなら、いつもの道で問題なさそうだな。,,FALSE,,TRUE,TRUE,RandomSay,NoticeBoardLeftDriver_Random,,,,,,,,,,NoticeBoardLeftDriver_A
DIALOGUE,NoticeBoardLeftDriver,0,3,,掲示板を見るドライバー,TRUE,"掲示板にも目を通しておくか。
何か変わった知らせがあるかもしれないしな。",,FALSE,TRUE,TRUE,TRUE,RandomSay,NoticeBoardLeftDriver_Random,,,,,,,,,,NoticeBoardLeftDriver_B
DIALOGUE,NoticeBoardLeftDriver,0,4,,掲示板を見るドライバー,TRUE,"……特に変わったことはなさそうだ。
これなら安心して出られるな。",,FALSE,TRUE,TRUE,TRUE,RandomSay,NoticeBoardLeftDriver_Random,,,,,,,,,,NoticeBoardLeftDriver_B
DIALOGUE,GuildEntrance_Table3,0,1,,尋ねるクラーク,TRUE,"雪の村への納品が滞っているんですが、
何か心当たりはありますか？",,FALSE,TRUE,TRUE,TRUE,Say,,,,,,,,,,,
DIALOGUE,GuildEntrance_Table3,0,2,,雪の村出身の男,TRUE,いえ、村を出たときには特に変わった様子はありませんでした。,,FALSE,TRUE,TRUE,TRUE,Say,,,,,,,,,,,
DIALOGUE,GuildEntrance_Table3,0,3,,尋ねるクラーク,TRUE,"そうですか……では、
途中の道で何かあった可能性もありそうですね。",,FALSE,TRUE,TRUE,TRUE,Say,,,,,,,,,,,
DIALOGUE,GuildEntrance_Table3,0,4,,雪の村出身の男,TRUE,そうかもしれません。少なくとも、そのときは普段通りでしたよ。,,FALSE,TRUE,TRUE,TRUE,Say,,,,,,,,,,,
DIALOGUE,GuildEntrance_Table1,0,1,,相談するクラーク,TRUE,次の依頼ですが、少し遠い場所になります。,,FALSE,TRUE,TRUE,TRUE,Say,,,,,,,,,,,
DIALOGUE,GuildEntrance_Table1,0,2,,承認するドライバー,TRUE,距離は気にしなくていいさ。場所だけ教えてくれ。,,FALSE,TRUE,TRUE,TRUE,Say,,,,,,,,,,,
DIALOGUE,GuildEntrance_Table1,0,3,,相談するクラーク,TRUE,では、こちらの地図を確認してください。,,FALSE,TRUE,TRUE,TRUE,Say,,,,,,,,,,,
DIALOGUE,GuildEntranceStairClerk,0,1,,,FALSE,"階段を上がった先は休憩所になっていますので、
どうぞご自由にお使いください。",,,TRUE,TRUE,TRUE,Say,,,,,,,,,,,
DIALOGUE,GuildBar_Table1,0,1,,,FALSE,おや、見ない嬢ちゃんだな。旅の途中かい？,,FALSE,TRUE,TRUE,TRUE,Say,,,,,,,,,,,
DIALOGUE,GuildBar_Table1,0,2,,,FALSE,しかし、ずいぶん綺麗な白い服だな。ここじゃよく目立つ。,,FALSE,TRUE,TRUE,TRUE,Say,,,,,,,,,,,
DIALOGUE,GuildBar_Table1,0,3,,,FALSE,俺たちの服なんて、汚れてくすんだのばっかりだからな。,,FALSE,TRUE,TRUE,TRUE,Say,,,,,,,,,,,
DIALOGUE,GuildBar_Table1,0,4,,,FALSE,どこの服なんだ？　少なくとも、俺はいままで見た覚えがないな。,,FALSE,TRUE,TRUE,TRUE,Say,,,,,,,,,,,
DIALOGUE,GuildBar_Table3,0,1,,浪漫的なドライバー,TRUE,なあ、もし空飛ぶ馬車なんてものがあったら、どうする？,,FALSE,TRUE,TRUE,TRUE,Say,,,,,,,,,,,
DIALOGUE,GuildBar_Table3,0,2,,実利的なクラーク,TRUE,そうですね……今よりずっと運送が円滑に回るんじゃないですか？,,FALSE,TRUE,TRUE,TRUE,Say,,,,,,,,,,,
DIALOGUE,GuildBar_Table3,0,3,,浪漫的なドライバー,TRUE,おいおい、そりゃ夢がねえなぁ。,,FALSE,TRUE,TRUE,TRUE,Say,,,,,,,,,,,
DIALOGUE,GuildBar_Table3,0,4,,浪漫的なドライバー,TRUE,俺だったら、そのまま空飛ぶ城を探しに行くね。,,FALSE,TRUE,TRUE,TRUE,Say,,,,,,,,,,,
DIALOGUE,GuildBar_Table3,0,5,,実利的なクラーク,TRUE,まだそんなおとぎ話を信じてるんですか？,,FALSE,TRUE,TRUE,TRUE,Say,,,,,,,,,,,
DIALOGUE,GuildEntrance_Table0,0,1,,,FALSE,"ここでは服の色で、
大まかな役割を見分けられるようになっているんです。",,FALSE,TRUE,TRUE,TRUE,Say,,,,,,,,,,,
DIALOGUE,GuildEntrance_Table0,0,2,,,FALSE,"茶色がドライバー。
馬車を操って、荷物や人を目的地まで送り届ける方たちですね。",,FALSE,TRUE,TRUE,TRUE,Say,,,,,,,,,,,
DIALOGUE,GuildEntrance_Table0,0,3,,,FALSE,"青色はガードです。
馬車に付き添って、道中の危険から荷物やお客様を守ります。",,FALSE,TRUE,TRUE,TRUE,Say,,,,,,,,,,,
DIALOGUE,GuildEntrance_Table0,0,4,,,FALSE,"緑色が私たちクラークで、
受付や発券、出発の手続きなどをしています。",,FALSE,TRUE,TRUE,TRUE,Say,,,,,,,,,,,
DIALOGUE,GuildBar_Table6,0,1,,,FALSE,ガドってやつ、知ってるか？　あのでかい剣を持ってるやつだ。,,FALSE,TRUE,TRUE,TRUE,Say,,,,,,,,,,,
DIALOGUE,GuildBar_Table6,0,2,,,FALSE,いや、あんな大剣を平然と振り回せるのはおかしいだろ。,,FALSE,TRUE,TRUE,TRUE,Say,,,,,,,,,,,
DIALOGUE,GuildBar_Table6,0,3,,,FALSE,"言っとくが、
他のガードまであいつみたいにガタイがいいと思うなよ。",,FALSE,TRUE,TRUE,TRUE,Say,,,,,,,,,,,
DIALOGUE,GuildBar_Table6,0,4,,,FALSE,"にしても、あの真っ赤な大剣……
いったいどこで拾ってきたんだろうな。",,FALSE,TRUE,TRUE,TRUE,Say,,,,,,,,,,,
DIALOGUE,GuildBar_Table2,0,1,,,FALSE,"アノンって子、知ってるか？
受付にいる、ちっこくて可愛い子だよ。",,FALSE,TRUE,TRUE,TRUE,Say,,,,,,,,,,,
DIALOGUE,GuildBar_Table2,0,2,,,FALSE,"あの歳で仕事はきっちりこなすし、
道やら予定やら何でも頭に入ってる。大したもんだよ。",,FALSE,TRUE,TRUE,TRUE,Say,,,,,,,,,,,
DIALOGUE,GuildBar_Table2,0,3,,,FALSE,"俺があのくらいの歳だった頃なんて、
仕事どころか毎日のように悪さしてたからな。",,FALSE,TRUE,TRUE,TRUE,Say,,,,,,,,,,,
DIALOGUE,GuildBar_Table2,0,4,,,FALSE,いやぁ……比べると情けなくなってくるね。,,FALSE,TRUE,TRUE,TRUE,Say,,,,,,,,,,,
DIALOGUE,GuildBar_Table5,0,1,,,FALSE,次にまとまった休みが取れたら、実家に帰ろうと思ってるんだ。,,FALSE,TRUE,TRUE,TRUE,Say,,,,,,,,,,,
DIALOGUE,GuildBar_Table5,0,2,,,FALSE,"平原にあるんだけど、砂漠を経由しないと行けなくてさ。
これがなかなか大変なんだよ。",,FALSE,TRUE,TRUE,TRUE,Say,,,,,,,,,,,
DIALOGUE,GuildBar_Table5,0,3,,,FALSE,まあ、久しぶりに家族の顔も見たいしな。,,FALSE,TRUE,TRUE,TRUE,Say,,,,,,,,,,,
DIALOGUE,GuildBar_Table5,0,4,,,FALSE,妹も変わらず元気だといいんだけど。,,FALSE,TRUE,TRUE,TRUE,Say,,,,,,,,,,,
