セリフ,ChracterName,BlockName,FileName
"遠路はるばる、よくぞこの過酷な砂漠を越えていらっしゃいました。
心より歓迎いたします。",Fill,Fill_Default,Fill_normal_smile
ここから砂漠の最奥地へと向かうことができます。,Fill,Fill_AfterFirstMetLevias,Fill_normal_normal
"魔物も多く険しい道ですから、
どうか気を引き締めて行きましょう。",Fill,Fill_AfterFirstMetLevias,Fill_normal_normal
この奥に、村に古くから伝わる秘宝が安置されています。,Fill,Fill_ReachedDeepestDesert,Fill_normal_normal
"何が待ち受けているか分かりませんから、
どうか十分に用心してくださいね。",Fill,Fill_ReachedDeepestDesert,Fill_normal_normal
"申し訳ありません。私はここで、
動くこともままならない姉様を見守っていようと思います。",Fill,Fill_AfterTempleBossSmokeDefeat,Fill_armed2_normal
"もし何かあったら、いつでもここへ戻ってきてください。
私にできることなら、何でもお力になりますから。",Fill,Fill_AfterTempleBossSmokeDefeat,Fill_armed2_normal
この先に、あの恐ろしい魔物が待ち構えているはずです。,Fill,Fill_BeforeDecisionBattle,Fill_armed2_determination
必ず打ち払い、私たちの村を魔の手から解放してみせます。,Fill,Fill_BeforeDecisionBattle,Fill_armed2_determination
"悪いけど、オアシスまで行って水を汲んできてくれないかな？ 
頼んだよ。",Axis,Axis_Default,Axis_normal_normal
"巫女さんなら村の端にある神殿にいたよ。
気になるなら、様子を見てくるといい。",Axis,Axis_CompletedCoachmanQuest,Axis_normal_normal
"君の役割を果たしてくるといい。
大丈夫、君を置いて勝手に出発したりはしないからさ。",Axis,Axis_AfterFirstMetLevias,Axis_normal_normal
へぇ……。こんな砂臭い村に、よそ者が何の用だよ。,Boy_Desert_1,Boy_Desert_1_Default,Boy_Desert_1_normal_normal
"御者？ 知らねえな。
そいつがどこに消えたかなんて、俺が見てるわけないだろ。
そもそも、村によそ者がいればすぐに目につくはずなんだよ。",Boy_Desert_1,Boy_Desert_1_InquiryAboutFill,Boy_Desert_1_normal_normal
"フィル様のことか？ 
ふん、部外者が首を突っ込むことじゃないと思うけどね。",Boy_Desert_1,Boy_Desert_1_InquiryAboutFill,Boy_Desert_1_normal_normal
"まあ、教えてやってもいいよ。
お前、村の端にある神殿を見たか？ 
あそこには、とんでもなく巨大な化け物が巣食ってるんだ。",Boy_Desert_1,Boy_Desert_1_InquiryAboutFill,Boy_Desert_1_normal_normal
"この村はさ、時々その化け物の機嫌をとるために、
『生贄』を差し出さなきゃならない決まりになってるんだよ。
それが巫女の役割ってわけさ。",Boy_Desert_1,Boy_Desert_1_InquiryAboutFill,Boy_Desert_1_normal_normal
"今まで生贄に選ばれた女の人たちがどうなったか？ 
……決まってるだろ、帰ってきた奴なんて今まで一人もいない。
神殿の奥に入ったらそれっきりさ。",Boy_Desert_1,Boy_Desert_1_InquiryAboutFill,Boy_Desert_1_normal_normal
"なんだよその顔。残酷だって言いたいのか？ 
ハッ、外から来たお気楽な奴にはわからないだろうな。
俺たちだって、好きで犠牲を出してるわけじゃないんだ。",Boy_Desert_1,Boy_Desert_1_InquiryAboutFill,Boy_Desert_1_normal_normal
"俺たちはさ、この砂漠で生きていくには、オアシスを絶対に
手放すわけにはいかないんだよ。守るための代償なら
……俺たちは、その犠牲を受け入れるしかないんだ。",Boy_Desert_1,Boy_Desert_1_InquiryAboutFill,Boy_Desert_1_normal_normal
"……ちっ、結局あの魔物さえぶっ潰せれば、
こんなクソみたいな犠牲なんて、
払わなくて済むんだろうけどな。",Boy_Desert_1,Boy_Desert_1_AfterInquiryAboutFill,Boy_Desert_1_normal_normal
"オアシスまで枯らしやがって……あの化け物め、
絶対に……絶対にぶっ倒してやる！",Boy_Desert_1,Boy_Desert_1_AfterFirstMetLevias,Boy_Desert_1_normal_normal
"……気のせいか、少しお姿にゆとりができたっていうか……。
でも、あんなに必死なツラして神殿に向かうフィル様なんて、
俺は初めて見たよ。",Boy_Desert_1,Boy_Desert_1_AfterOasisPartiallyRestored,Boy_Desert_1_normal_normal
おい、さっき神殿の方からでかい音が聞こえたぞ。,Boy_Desert_1,Boy_Desert_1_AfterTempleBossDefeat,Boy_Desert_1_normal_normal
何が起きたんだ？,Boy_Desert_1,Boy_Desert_1_AfterTempleBossDefeat,Boy_Desert_1_normal_normal
"あら、砂漠を越えてここまで来たの？　
……ふふ、珍しいお客さまね。",Girl_Desert_1,Girl_Desert_1_Default,Girl_Desert_1_normal_normal
アクスっていう御者？ ……ううん、見かけてないわ。,Girl_Desert_1,Girl_Desert_1_InquiryAboutFill,Girl_Desert_1_normal_normal
フィルお姉ちゃんのこと？ ……なにか用でもあったの？,Girl_Desert_1,Girl_Desert_1_InquiryAboutFill,Girl_Desert_1_normal_normal
"……実はね、フィルお姉ちゃんのお姉さん……
つい最近、あの神殿の生贄になってしまったの。",Girl_Desert_1,Girl_Desert_1_InquiryAboutFill,Girl_Desert_1_normal_normal
"お姉さんはね、とても気が強くて、
正義感の塊みたいな、すごくかっこいい人だったわ。",Girl_Desert_1,Girl_Desert_1_InquiryAboutFill,Girl_Desert_1_normal_normal
"フィルお姉ちゃんは大人しくて、昔からいつもお姉さんの
後ろを隠れるようにして、ちょこちょこついて歩いていたのよ。",Girl_Desert_1,Girl_Desert_1_InquiryAboutFill,Girl_Desert_1_normal_normal
"でもね、お姉さんがいなくなって、自分が代わりに
巫女になるって決めてからは……なんだか人が変わったみたいに、
必死に巫女としての役割を果たそうと頑張っているの。",Girl_Desert_1,Girl_Desert_1_InquiryAboutFill,Girl_Desert_1_normal_normal
"無理をしていないか、見ていて少し心配になってしまうくらい……。
ねえ、もしフィルお姉ちゃんに会ったら、
あまり頑張りすぎないでって、伝えておいてくれない？",Girl_Desert_1,Girl_Desert_1_InquiryAboutFill,Girl_Desert_1_normal_normal
"……あの恐ろしい魔物さえいなくなれば、
フィルお姉ちゃんがこんなに苦しまなくて
済むのでしょうけれど……。",Girl_Desert_1,Girl_Desert_1_AfterInquiryAboutFill,Girl_Desert_1_normal_normal
"……ねぇ、私たちはこれからどうすればいいのかしら。
オアシスを枯らされてしまったら、
もう、どうすることもできないわ……。",Girl_Desert_1,Girl_Desert_1_AfterFirstMetLevias,Girl_Desert_1_normal_normal
"……気のせいかしら、
姿が少しふくよかになったような気もするけれど、
フィルお姉ちゃん、とても真剣な表情で神殿へ向かっていったわ。",Girl_Desert_1,Girl_Desert_1_AfterOasisPartiallyRestored,Girl_Desert_1_normal_normal
フィルお姉ちゃん、前みたいに笑ってくれるようになったの。,Girl_Desert_1,Girl_Desert_1_AfterTempleBossDefeat,Girl_Desert_1_normal_normal
あなたのおかげなんでしょう？　本当にありがとう。,Girl_Desert_1,Girl_Desert_1_AfterTempleBossDefeat,Girl_Desert_1_normal_normal
