セリフ,ChracterName,BlockName,FileName
鎧を着た女？　いや、少なくとも同業者では見たことがないな。,Guard_GuildEntrance_Table2_LeftChair,Guard_GuildEntrance_Table2_LeftChair_Chapter3GuildInquiry,
"そもそも今どき、剣を振るって仕事をしてるのなんて、
俺たちガードくらいのもんだ。",Guard_GuildEntrance_Table2_LeftChair,Guard_GuildEntrance_Table2_LeftChair_Chapter3GuildInquiry,
"昔は冒険者なんて連中もいたらしいが、
魔物を倒してるだけじゃ、まともに稼げないからな。",Guard_GuildEntrance_Table2_LeftChair,Guard_GuildEntrance_Table2_LeftChair_Chapter3GuildInquiry,
"今じゃ、この運送ギルドがかなりの雇用を担ってる。
仕事を探すなら、そっちに流れる奴の方がずっと多いよ。",Guard_GuildEntrance_Table2_LeftChair,Guard_GuildEntrance_Table2_LeftChair_Chapter3GuildInquiry,
"冒険者ギルドがあった頃に生まれてたら、
俺もそっちで剣を振ってたかもな。",Guard_GuildEntrance_Table2_LeftChair,Guard_GuildEntrance_Table2_LeftChair_AfterChapter3GuildInquiry,
広い施設？　うーん、私は見たことないわね。,Driver_Rightmost,Driver_Rightmost_Chapter3GuildInquiry,
"仕事柄あちこち通るけど、
そんな場所があればさすがに気づくと思うのよね。",Driver_Rightmost,Driver_Rightmost_Chapter3GuildInquiry,
もし本当にあるなら……空にでも浮かんでるのかしら。,Driver_Rightmost,Driver_Rightmost_Chapter3GuildInquiry,
それか、誰にも見つからないように地下に造られてるとかね。,Driver_Rightmost,Driver_Rightmost_Chapter3GuildInquiry,
"いろんな場所を回ってみれば、
何か手掛かりが見つかるかもしれないわよ。",Driver_Rightmost,Driver_Leftmost_AfterChapter3GuildInquiry,
わからないことがあったら、何でも聞いてくださいね。,Receptionist,Receptionist_Default,Receptionist_normal_normal
"情報を集めたいのでしたら、
二階の休憩所に行ってみるのがおすすめですよ。",Receptionist,Receptionist_Default,Receptionist_normal_normal
"ここにはいろんな方が出入りしていますから、
探している情報も見つかるかもしれませんよ。",Receptionist,Receptionist_Default,Receptionist_normal_normal
"本当はちょっぴり心配ですけど……
ノエリさんなら大丈夫ですよね。
気をつけて行ってきてください。",Receptionist,Receptionist_AskedReceptionistAboutNextDestination,Receptionist_normal_normal
あーあ、ようやく休めると思ったんだけどな。,Hero,Hero_Default,Hero_normal_normal
ったく、こうなりゃ腹くくるしかねぇか。さっさと行って片づけようぜ。,Hero,Hero_AskedReceptionistAboutNextDestination,Hero_normal_normal
