セリフ,ChracterName,BlockName,FileName
"ん？　なんだ、この切り株。
ずいぶん妙な切られ方してんな。",Hero,Hero_Default,Hero_normal_thinking
村の人が木を切った跡じゃないんですか？,Heroin,Hero_Default,Heroin_flexible_normal
"いや、普通こんな半端な高さから切らねぇだろ。
それに、この断面……やけに綺麗すぎる。",Hero,Hero_Default,Hero_normal_thinking
たしかに……斧で何度も切ったようには見えませんね。,Heroin,Hero_Default,Heroin_flexible_normal
ああ。まるで一気に、すぱっと断ち切られたみてぇだ。,Hero,Hero_Default,Hero_normal_thinking
"こんな位置まで届くとなると、
そこらの獣って線は薄そうだな。",Hero,Hero_Default,Hero_normal_thinking
塔へ行くなら、ここを通るしかねぇみたいだな。,Hero,Hero_FirstMetBoy,Hero_normal_normal
"扉は閉まってるし、他に道も見当たらねぇな。
どうやって進むんだ、ここ。",Hero,Hero_StuckAtCaveExit,Hero_normal_thinking
"……なんで洞窟の中に雪だるまがあるんだ？
何か意味でもあんのか？",Hero,Hero_StuckAtCaveExit,Hero_normal_thinking
"昔はたぶんこの道を使ってたんだろ？
村の連中はどうやって塔まで行ってたんだ？",Hero,Hero_StuckAtCaveExit,Hero_normal_normal
扉が開いたか。ノエリのおかげだろうな。ありがてぇ。,Hero,Hero_CaveExitOpened,Hero_normal_smile
"まずは上だな。登ってりゃ、
向こう側へ回り込める道も見つかるだろ。",Hero,Hero_ReachedTowerEntrance,Hero_normal_normal
"外から見た時も思ったが、ずいぶん高ぇ塔だな。
まだ上があるのかよ。",Hero,Hero_ReachedTowerLanding1,Hero_normal_surprised
"こんな場所にこんな塔、普通じゃねぇよな。
何か役目があったはずだ。",Hero,Hero_ReachedTowerLanding1,Hero_normal_thinking
"梯子は見つけたが……
こいつ、本当に登るためのもんとして生きてるのか？",Hero,Hero_ReachedTowerLanding2,Hero_normal_thinking
……普通においしいのが、逆に腹立つ。  ,Apothecary,Apothecary_UnderPrison1Eating,Apothecary_normal_normal
"……もぐ。見た目よりちゃんと作ってある。
だから余計に目的が分からない。 ",Apothecary,Apothecary_UnderPrison1Eating,Apothecary_normal_normal
"……これくらいならまだ平気。
でも、次も同じ量とは限らない。 ",Apothecary,Apothecary_UnderPrison1Eating,Apothecary_normal_normal
まだ残ってるの……。  ,Apothecary,Apothecary_UnderPrison1Eating,Apothecary_normal_normal
"……さすがに、少しきつくなってきた。
お腹がずっと重い。  ",Apothecary,Apothecary_UnderPrison2Eating,Apothecary_armed1_normal
"……見ないで。
自分でも、前より体型が変わってるのは分かってる。",Apothecary,Apothecary_UnderPrison2Eating,Apothecary_armed1_normal
"もぐ……もぐ……。
別に食べるのが早くなったわけじゃない。
早く終わらせたいだけ。",Apothecary,Apothecary_UnderPrison2Eating,Apothecary_armed1_normal
そんなに見ないで。食べにくくなる。,Apothecary,Apothecary_UnderPrison2Eating,Apothecary_armed1_normal
"服もかなりきつい。
このまま続けば、逃げることすらできなくなる。 ",Apothecary,Apothecary_UnderPrison3Eating,Apothecary_armed2_normal
"……もぐ……。
もう、食べるだけでも疲れる。こんなの普通じゃない。",Apothecary,Apothecary_UnderPrison3Eating,Apothecary_armed2_normal
"……お腹が邪魔で、前より立ち上がりにくい。
もう待ってられない。 ",Apothecary,Apothecary_UnderPrison3Eating,Apothecary_armed2_normal
"甘いものばかり続けられると、さすがにきつい。
口の中まで甘ったるい。",Apothecary,Apothecary_UnderPrison3Eating,Apothecary_armed2_normal
"あなたが元に戻った分、余計に目立つ。
……あまりこっちを見ないで。",Apothecary,Apothecary_UnderPrison3EventComplete,Apothecary_armed2_normal
"あなたが悪いわけじゃないけど
……隣に立たれると少し困る。",Apothecary,Apothecary_UnderPrison3EventComplete,Apothecary_armed2_normal
"……悪いけど、行くなら先に言って。
 今は立ってるだけでも、思った以上に疲れる。",Apothecary,Apothecary_UnderPrison3EventComplete,Apothecary_armed2_normal
"今の私じゃ、あの窪みの段差は越えられない。
動かせるものがあるなら、足場を作って。",Apothecary,Apothecary_Under2FieldInProgress,Apothecary_armed2_normal
あの動かせる石、一定以上離れると元の位置に戻るみたい。,Apothecary,Apothecary_Under2FieldInProgress,Apothecary_armed2_normal
"……身体が重くなっただけで、
ここまで動けなくなるとは思わなかった。",Apothecary,Apothecary_Under2FieldInProgress,Apothecary_armed2_normal
"……服がずっと身体に張りついてて、
動くたびに気になる。",Apothecary,Apothecary_Under2FieldInProgress,Apothecary_armed2_normal
"それぞれの石をどこに使うか、先に考えて。
窪みを埋める順番を間違えないで。",Apothecary,Apothecary_Under3FieldInProgress,Apothecary_armed2_normal
"さっきと同じ。
あの石は遠くまで離れると勝手に戻るみたい。",Apothecary,Apothecary_Under3FieldInProgress,Apothecary_armed2_normal
"少し休みたいところだけど、ここで止まってても仕方ない。
先に道を作って。",Apothecary,Apothecary_Under3FieldInProgress,Apothecary_armed2_normal
"少し歩いただけなのに、もう息が上がってる。
……見ないで。",Apothecary,Apothecary_Under3FieldInProgress,Apothecary_armed2_normal
まずは、奥の上に見える大きな石をどうにかした方がよさそう。,Apothecary,Apothecary_Under4FieldInProgress,Apothecary_armed2_normal
この配置なら、石は一つも余らないと思う。全部使う前提で考えて。,Apothecary,Apothecary_Under4FieldInProgress,Apothecary_armed2_normal
石の性質は変わってない。遠くまで離れると、元の位置に戻る。,Apothecary,Apothecary_Under4FieldInProgress,Apothecary_armed2_normal
石はすぐには落ちないみたい。下に足場がなくても、落ちるまでなら動かせる。,Apothecary,Apothecary_Under4FieldInProgress,Apothecary_armed2_normal
"何もなければ、それに越したことはないさ。
面倒なことになっていないといいね。",Axis,Axis_Default,Axis_normal_normal
"見かけない人ですね。
お姉さん、遠くから来たんですか？",SnowVillageGirl1,SnowVillageGirl1_Default,SnowVillageGirl1_normal_normal
"寒くないですか？　
この辺りはずっと雪が積もってるんですよ。",SnowVillageGirl1,SnowVillageGirl1_Default,SnowVillageGirl1_normal_normal
"お腹が鳴ったら恥ずかしいですね。
……もう少し我慢します。",SnowVillageGirl1,SnowVillageGirl1_Default,SnowVillageGirl1_normal_normal
もう食べ物、ないんですかぁ……？　まだ全然足りないですぅ……。,SnowVillageGirl1,SnowVillageGirl1_ReachedUnderExit,SnowVillageGirl1_immobile_normal
まだどこかに残ってないでしょうかぁ……探したら見つかるかもですぅ……。,SnowVillageGirl1,SnowVillageGirl1_ReachedUnderExit,SnowVillageGirl1_immobile_normal
うぅ……なんだか身体が重くて、うまく動けないですぅ……。,SnowVillageGirl1,SnowVillageGirl1_ReachedUnderExit,SnowVillageGirl1_immobile_normal
"もぐっ、もぐっ……止まらないですぅ
……まだいっぱい食べられそうですぅ……。",SnowVillageGirl1,SnowVillageGirl1_RestraintEscapeComplete,SnowVillageGirl1_immobile_normal
"もう何個口にしたか分からないですぅ
……でも、まだ欲しいですぅ……。",SnowVillageGirl1,SnowVillageGirl1_RestraintEscapeComplete,SnowVillageGirl1_immobile_normal
"もぐっ……ごくん……
お姉さん、邪魔しないでくださいぃ……
次のもあるんですぅ……。",SnowVillageGirl1,SnowVillageGirl1_RestraintEscapeComplete,SnowVillageGirl1_immobile_normal
お姉ちゃん、村の外から来たんだよね。寒くない？,SnowVillageGirl2,SnowVillageGirl2_Default,SnowVillageGirl2_normal_normal
おじいちゃん、また難しい顔してた。何か困ってるのかな。,SnowVillageGirl2,SnowVillageGirl2_Default,SnowVillageGirl2_normal_normal
今日のごはん、何かな。いっぱい食べられるといいな。,SnowVillageGirl2,SnowVillageGirl2_Default,SnowVillageGirl2_normal_normal
お腹いっぱいだったはずなのにぃ……なんでまた欲しくなるんだろぉ……。,SnowVillageGirl2,SnowVillageGirl2_ReachedUnderExit,SnowVillageGirl2_immobile_normal
もう何も残ってないんだねぇ……ちょっと、さみしいぃ……。,SnowVillageGirl2,SnowVillageGirl2_ReachedUnderExit,SnowVillageGirl2_immobile_normal
お姉ちゃんも、お腹すいてないぃ……？　何か探しに行かないぃ……？,SnowVillageGirl2,SnowVillageGirl2_ReachedUnderExit,SnowVillageGirl2_immobile_normal
"縄、ちゃんと切れてよかったぁ……。
ずっとあのままだったら、どうしようって思ったぁ……。",SnowVillageGirl2,SnowVillageGirl2_RestraintEscapeComplete,SnowVillageGirl2_immobile_normal
"お姉ちゃん、いっぱい食べたけどぉ……
まだ動けるぅ……？",SnowVillageGirl2,SnowVillageGirl2_RestraintEscapeComplete,SnowVillageGirl2_immobile_normal
"わたしもお腹すいてるけどぉ……
今は、お姉ちゃんに頑張ってほしいぃ……。",SnowVillageGirl2,SnowVillageGirl2_RestraintEscapeComplete,SnowVillageGirl2_immobile_normal
"見慣れない人ね。
何か用があって、この村まで来たのかしら？",SnowVillageWoman1,SnowVillageWoman1_Default,
"この辺りは雪が深いでしょう？ 
慣れてないなら、足元には気をつけてね。",SnowVillageWoman1,SnowVillageWoman1_Default,
何か残ってないかしらぁ……もう一度探してみようかなぁ……。,SnowVillageWoman1,SnowVillageWoman1_ReachedUnderExit,
……身体が重いわねぇ。少し動くだけでも、前より疲れるぅ……。,SnowVillageWoman1,SnowVillageWoman1_ReachedUnderExit,
"ねぇ……まだ食べ物、持ってるんでしょうぉ……？
少しくらい置いていってよぉ……。",SnowVillageWoman1,SnowVillageWoman1_RestraintEscapeComplete,
"さっきからずっと口にしてるのにぃ……
どうしてまだ欲しくなるのかしらぁ……。",SnowVillageWoman1,SnowVillageWoman1_RestraintEscapeComplete,
