ID,名前ID,TextType,SectionIndex,LogIndex,表示テキスト,文字数
16001,GameFirstStart,Base,,,右へ進む。,5
16002,TutorialStart,Base,,,先へ進む。,5
16003,FirstMetRobot,Base,,,Faboの力を使いながら先へ進む。,17
16004,CrystalQuestStart,Base,,,3つの赤色のクリスタルを起動する。,17
16005,CrystalQuestComplete,Base,,,クリスタルの起動によって開かれた扉の先へ進む。,23
16006,FirstBossAppear,Base,,,ボスを倒す。,6
16007,DefeatFirstBoss,Base,,,奥へ進む。,5
16008,AfterMysteriousWomanEvent,Base,,,右へ進む。,5
16009,Chapter1Start,Base,,,村の方へ進む。,7
16010,VillageTourStart,Base,,,村を見て回る。,7
16011,WellQuestStart,Base,,,店の少女の家の右側にある、井戸を調査する。,21
16012,WellQuestComplete,Base,,,井戸に関しての報告を、店の少女に伝える。,20
16013,RiverQuestStart,Base,,,村の先へ進み、川の上流を目指す。,16
16014,EncounterRiverRock,Base,,,"村の右端にいるおじさんに、
岩の破壊撤去を頼みに行く。",26
16015,RequestRockDestruction,Base,,,ファストトラベルを利用して、再び川の上流に向かう。,25
16016,CompleteRockDestruction,Base,,,上流の奥へ進む。,8
16017,RiverBossAppear,Base,,,ボスを倒す。,6
16018,DefeatRiverBoss,Base,,,一旦、村へ戻る。,8
16019,HeardShopGirlRumor,Base,,,村の左側にある少女の店へ向かう。,16
16020,StartShopGirlSearch,Base,,,少女の家の中に入り、探索してみる。,17
16021,HouseCaveBossAppear,Base,,,ボスを倒す。,6
16022,DefeatHouseCaveBoss,Base,,,少女に話しかける。,9
16023,ToDesert,Base,,,村の左端に停まっている馬車に乗り、砂漠へ向かう。,24
16024,Chapter2Start,Base,,,右へ進む。,5
16025,FirstEnteredDesertVillage,Base,,,王都へ行くために、砂漠の村で馬車を探し出す。,22
16026,FirstMetCoachman,Base,,,"村を出て、砂漠を道なりに進んだ場所にある
オアシスへ向かう。",29
16027,OasisSpringEnemiesAppear,Base,,,フィルを守るため、敵を倒す。,14
16028,OasisSpringEnemiesDefeat,Base,,,村にいるアクスへ、納品の報告を行う。,18
16029,AttemptedToReportCoachmanQuest,Base,,,村人から情報収集を行う。,12
16030,ReportedCoachmanQuestComplete,Base,,,村の端にある神殿へ向かう。,13
16031,FirstMetDesertTempleBoss,Base,,,"神殿に巣くう魔物を倒すため、
オアシスへ至る道中の門をくぐり、
砂漠の奥地へと進む。",42
16032,DustDevilBossAppear,Base,,,秘宝への行く手を阻むボスを倒す。,16
16033,DustDevilBossDefeat,Base,,,フィルの様子を確認するため、オアシスへ向かう。,23
16034,OasisPartiallyRestoredByFill,Base,,,フィルを追いかけて、神殿へ向かう。,17
16035,TempleBossSmokeDefeat,Base,,,神殿の頂上を目指し、珠を集め全ての装置を起動する。,25
16035,TempleBossSmokeDefeat,Additional,0,0,"[緑の珠]
神殿内の装置を探す。",15
16035,TempleBossSmokeDefeat,Additional,0,1,"[緑の珠]
神殿に生息するダストボルテックスを討伐して
珠を手に入れ、装置にはめ込む。",41
16035,TempleBossSmokeDefeat,Additional,1,0,"[橙の珠]
神殿内の装置を探す。",15
16035,TempleBossSmokeDefeat,Additional,1,1,"[橙の珠]
神殿のどこかにある宝箱から
珠を手に入れ、装置にはめ込む。",33
16035,TempleBossSmokeDefeat,Additional,2,0,"[紫の珠]
神殿内の装置を探す。",15
16035,TempleBossSmokeDefeat,Additional,2,1,"[紫の珠]
神殿の入り口にいるフィルに聞いてみる。",24
16035,TempleBossSmokeDefeat,Additional,2,2,"[紫の珠]
砂漠のどこかの洞窟にいるとされる
「怪しげな旅の男性」を探す。",35
16035,TempleBossSmokeDefeat,Additional,2,3,"[紫の珠]
洞窟のくじ屋に挑戦し、景品の珠を入手し、
装置にはめ込む。",33
16036,AllOrbsPlacedInDesertTemple,Base,,,神殿の入り口にいるフィルに話しかける。,19
16037,TalkToFillAfterAllOrbsPlaced,Base,,,神殿の入り口にそびえる大扉をくぐり、頂上を目指す。,25
16038,TempleBossAppear,Base,,,"人々の祈りと絶望を飲み込み神殿に君臨し続ける
支配者との因縁を断ち切る。",35
