ID,EnumName,Name,Category,Description,RequiredPoints,MaxLevel,PrerequisiteSkills,ExclusiveGroupID
21001,DashSpeedUp,疾走,Mobility,ダッシュ速度が上昇する。,1,1,,0
21002,DoubleJump,二段跳び,Mobility,ジャンプ回数が一回増える。,1,1,,0
21003,Glide,滑空,Mobility,空中でジャンプボタンを押し続けると、ゆっくり落下する。,1,1,,0
21004,SlowFall,緩降下,Mobility,落下速度が低下する。,1,1,,0
21005,JumpPowerUp,跳躍強化,Mobility,ジャンプ力が上昇する。,1,1,,0
21101,DamageDisplay,ダメージ表示,Exploration,与えたダメージを表示する。,1,1,,0
21102,AutoDropItemCollect,自動回収,Exploration,敵からドロップしたアイテムやコインを自動で回収する。,1,1,,0
21103,TreasureCount,宝箱計測,Exploration,マップ内にある宝箱の数を表示する。,1,1,,0
21104,Stealth,隠密,Exploration,敵の索敵距離が短くなる。,1,1,,0
21105,InvisibleDetection,不可視認識,Exploration,不可視の存在を認識できるようになる。,1,1,,0
21106,PitFallDamageImmunity,落下無傷,Exploration,穴に落下した際のダメージを無効化する。,1,1,,0
21201,GlassCannon,捨身,Attack,攻撃力がx倍になるが、攻撃を受けると即死する。,1,1,,0
21202,IronBallDrop,鉄球落下,Attack,ダメージを与えた際、まれに敵の上空から鉄球が落ちてくる。,1,1,,0
21203,HeavyWeaponSpeedUp,剛腕,Attack,重量武器の振り速度が上昇する。,1,1,,0
21301,LastStand,不屈,Defense,HPが95％以上のとき、一度にHPが0になるダメージを受けてもHP1で耐える。,1,1,,0
21302,GuardGaugeRecovery,ガード回復,Defense,ガードゲージの回復速度が上昇する。,1,1,,0
21303,JustGuardNoCost,ジャスト無消費,Defense,ジャストガード成功時、ガードゲージを消費しなくなる。,1,1,,0
21304,JustGuardWindowUp,ジャスト緩和,Defense,ジャストガードの許容時間が長くなる。,1,1,,0
21305,FirstHitImmunity,初撃無効,Defense,エリアチェンジ後、最初に受けるダメージを無効化する。,1,1,,0
21306,InvincibilityTimeUp,無敵延長,Defense,ダメージを受けた後の無敵時間が長くなる。,1,1,,0
21307,KnockbackReduction,踏ん張り,Defense,ノックバック量が減少する。,1,1,,0
21308,AirGuard,空中防御,Defense,空中でもガードできるようになる。,1,1,,0
21401,ConsecutiveHunt,連続狩猟,Reward,同じ敵を連続して倒すと、アイテムのドロップ率が上昇する。,1,1,,0
21402,HealingDropPriority,回復優先,Reward,回復アイテムが優先的にドロップする。,1,1,,0
21403,MaterialDropPriority,素材優先,Reward,素材アイテムが優先的にドロップする。,1,1,,0
21404,PotionConversion,ポーション変換,Reward,コインの代わりにステータスポーションがドロップすることがある。,1,1,,0
21405,RareEnemyRateUp,希少遭遇,Reward,レアな敵の出現率が上昇する。,1,1,,0
21406,GlowingRareEnemy,光る個体,Reward,アイテムのドロップ率が高い、光るレアな敵が出現する。,1,1,,0
21407,AreaClearReward,全滅報酬,Reward,エリア内の敵を全滅させると、報酬宝箱が手に入る。,1,1,,0
21408,BlindCoinBoost,盲目の財運,Reward,視界が悪くなるが、コインが多くドロップする。,1,1,,0
21501,SynthesisBonus,合成増量,Tool,合成時、通常より多くのアイテムを入手できることがある。,1,1,,0
21502,ItemCooldownReduction,再使用短縮,Tool,アイテムを使用できない時間が短くなる。,1,1,,0
21503,AutoHealItemUse,緊急使用,Tool,HPが一定以下になると、設定した回復アイテムを自動で使用する。,1,1,,0
21601,NoEnemyRespawn,再出現停止,Special,エリア移動時、敵がリスポーンしなくなる。,1,1,,0
21602,MeteorFall,隕石落下,Special,突然、自分にも当たる隕石が降ってくることがある。,1,1,,0
