EnemyID,EnemyName,HP,RequiredLevel,EXP,Coin,DropType,TargetID,TargetName,Chance,Count,HasCondition,ConditionType,ConditionValue,IsUnique
15001,機械1,127,1,1,1,None,,,,,FALSE,None,0,FALSE
15002,機械2,178,1,1,1,None,,,,,FALSE,None,0,FALSE
15003,チュートリアルゴーレム,153,1,5,3,None,,,,,FALSE,None,0,FALSE
15004,研究生物,1300,2,120,10,None,,,,,FALSE,None,0,FALSE
15005,スライム,382,3,8,1,None,,,,,FALSE,None,0,FALSE
15006,ワイルドウィング,310,3,8,2,None,,,,,FALSE,None,0,FALSE
15007,ゴールドスライム,864,4,1000,100,None,,,,,FALSE,None,0,FALSE
15010,ボススライム,1250,4,60,10,None,,,,,FALSE,None,0,FALSE
15011,岩石巨兵 ロッカス,4000,6,1080,50,None,,,,,FALSE,None,0,FALSE
15012,ストーンゴーレムの岩,67,6,0,0,None,,,,,FALSE,None,0,FALSE
15013,虚空のスラガルト,7000,20,2000,2000,None,,,,,FALSE,None,0,FALSE
15014,サンドドレイク,436,8,45,3,None,,,,,FALSE,None,0,FALSE
15015,エクタス,515,8,50,3,None,,,,,FALSE,None,0,FALSE
15016,ダストデビル,515,8,50,3,None,,,,,FALSE,None,0,FALSE
15017,蒼儡兵(飛行型),533,10,80,8,None,,,,,FALSE,None,0,FALSE
15018,ダストボルテックス,515,9,65,5,None,,,,,FALSE,None,0,FALSE
15019,蒼儡兵(歩行型),577,10,80,8,None,,,,,FALSE,None,0,FALSE
15021,停滞のメルカディス,4000,14,784,50,None,,,,,FALSE,None,0,FALSE
15025,デザートストーム,2300,12,520,0,None,,,,,FALSE,None,0,FALSE
15026,冷徹なる蒼い影,2500,13,2704,0,None,,,,,FALSE,None,0,FALSE
15027,蒼儡機 レヴィアス,4500,15,3000,0,None,,,,,FALSE,None,0,FALSE
15031,グレイガーゴイル,852,14,130,12,None,,,,,FALSE,None,0,FALSE
15032,グルームバット,646,14,130,12,None,,,,,FALSE,None,0,FALSE
15033,アイアンガルド,1112,15,145,15,None,,,,,FALSE,None,0,FALSE
15034,ジュエルフェアリー,1500,16,1500,200,None,,,,,FALSE,None,0,FALSE
15038,Apothecary,5000,18,4200,0,None,,,,,FALSE,None,0,FALSE
15041,フロストスライム,784,17,190,18,None,,,,,FALSE,None,0,FALSE
15042,フロストフェアリー,603,17,190,18,None,,,,,FALSE,None,0,FALSE
15043,霜儡兵(小型),856,18,210,20,None,,,,,FALSE,None,0,FALSE
15044,霜儡兵(小型・雪ダルマ型),510,13,110,13,None,,,,,FALSE,None,0,FALSE
15045,霜儡兵(中型),856,18,250,22,None,,,,,FALSE,None,0,FALSE
15046,霜儡兵(大型),2857,19,1000,30,None,,,,,FALSE,None,0,FALSE
15050,霜儡機 ヴェロシア,6500,22,0,0,None,,,,,FALSE,None,0,FALSE
15028,蒼儡兵(飛行型・特殊),533,10,95,0,None,,,,,FALSE,None,0,FALSE
15001,機械1,127,1,1,1,Item,8001,野イチゴ,60,5,FALSE,None,0,FALSE
15002,機械2,178,1,1,1,Item,8001,野イチゴ,50,4,FALSE,None,0,FALSE
15003,チュートリアルゴーレム,153,1,5,3,Item,8003,力の薬草,100,1,FALSE,None,0,FALSE
15005,スライム,382,3,8,1,Item,8002,薬草,25,4,FALSE,None,0,FALSE
15006,ワイルドウィング,310,3,8,2,Item,8002,薬草,30,5,FALSE,None,0,FALSE
15012,ストーンゴーレムの岩,67,6,0,0,Item,8002,薬草,33,1,FALSE,None,0,FALSE
15013,虚空のスラガルト,7000,20,2000,2000,Item,1005,虚空刃ヴァイド,30,1,FALSE,None,0,FALSE
