ID,武器名,攻撃力,WP消費量,クールタイム,sizeX,sizeY,offsetX,offsetY,購入,売却,レア度,モーションデータ
1001,木の剣,60,0,0.25,2.26,0.37,1.8,0,0,0,E,Blade
1003,石のナイフ,50,0,0.25,2.55,0.37,1.27,0,30,15,E,Knife
1010,フレアセラフィム,80,0,0.25,2.26,0.37,1.8,0,0,50,D,Blade
1005,虚空刃ヴァイド,120,0,0.25,2.26,0.37,1.8,0,0,120,C,Blade
1006,ハンマー,80,0,0.25,1,1.2,1.8,0,0,0,E,Hammer
1011,鉄木の剣,75,0,0.25,2.26,0.37,1.8,0,90,45,E,Blade
1012,デューンブレード,85,0,0.25,2.26,0.37,1.8,0,0,0,D,Blade
1013,ソルラグナ,100,0,0.25,2.39,1.2,2.07,0,0,0,C,Blade
1020,狩人の短剣,65,0,0.25,2.55,0.37,1.27,0,120,60,D,Knife
1021,塔工の大槌,110,0,0.25,1,1.2,2,0,0,0,D,Hammer
1022,霜晶の槍,95,0,0.25,3.1,1.2,3.7,0,0,0,D,Spear
